source,run_id,family_or_group,case_name,parameter_regime,validation_level,stop_reason,iteration_count,cut_count,final_violation_upper_bound,total_objective,construction_cost,weighted_normal_term,disaster_master_term,notes
cut_process,disaster_only_paper_like_exact_i20_k1_a1b1__baseline,disaster_only_paper_like_exact_i20_k1_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,21273.049999997485,48296.08952088406,24061.523679079506,0.0,24234.56584180455,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=2; plan-changing cuts=18/19; alpha/lambda-only cuts=1/19; lower-bound gain=48296.090
cut_process,disaster_only_paper_like_exact_i20_k1_a1b1__improved,disaster_only_paper_like_exact_i20_k1_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,21273.049999997485,48296.08952088406,24061.523679079506,0.0,24234.56584180455,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=2; plan-changing cuts=18/19; alpha/lambda-only cuts=1/19; lower-bound gain=48296.090
cut_process,disaster_only_paper_like_exact_i40_k1_a1b1__baseline,disaster_only_paper_like_exact_i40_k1_a1b1,disaster_only_paper_like_exact,paper_like_exact,exact,certified_exact,25,25,1.280568540096283e-09,48593.66117353786,25446.906551343287,0.0,23146.754622194574,stop_reason=certified_exact; diagnosis=exact_zero; repeated outages=4; plan-changing cuts=23/24; alpha/lambda-only cuts=1/24; lower-bound gain=48593.661
cut_process,disaster_only_paper_like_exact_i40_k1_a1b1__improved,disaster_only_paper_like_exact_i40_k1_a1b1,disaster_only_paper_like_exact,paper_like_exact,exact,certified_exact,25,25,1.280568540096283e-09,48593.66117353786,25446.906551343287,0.0,23146.754622194574,stop_reason=certified_exact; diagnosis=exact_zero; repeated outages=4; plan-changing cuts=23/24; alpha/lambda-only cuts=1/24; lower-bound gain=48593.661
cut_process,disaster_only_paper_like_exact_i5_k2_a1b1__baseline,disaster_only_paper_like_exact_i5_k2_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,5,5,71546.45000003651,26823.693279902243,23113.82481765002,0.0,3709.868462252223,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=3/4; alpha/lambda-only cuts=1/4; lower-bound gain=26823.693
cut_process,disaster_only_paper_like_exact_i5_k2_a1b1__improved,disaster_only_paper_like_exact_i5_k2_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,5,5,71546.45000003651,26823.693279902243,23113.82481765002,0.0,3709.868462252223,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=3/4; alpha/lambda-only cuts=1/4; lower-bound gain=26823.693
cut_process,disaster_only_paper_like_exact_i20_k2_a1b1__baseline,disaster_only_paper_like_exact_i20_k2_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,35891.95999998739,44130.916698912304,26832.28942360707,0.0,17298.627275305236,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=1; plan-changing cuts=18/19; alpha/lambda-only cuts=1/19; lower-bound gain=44130.917
cut_process,disaster_only_paper_like_exact_i20_k2_a1b1__improved,disaster_only_paper_like_exact_i20_k2_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,35891.95999998739,44130.916698912304,26832.28942360707,0.0,17298.627275305236,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=1; plan-changing cuts=18/19; alpha/lambda-only cuts=1/19; lower-bound gain=44130.917
cut_process,disaster_only_paper_like_exact_i40_k2_a1b1__baseline,disaster_only_paper_like_exact_i40_k2_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,40,40,7636.459999999031,55144.17175855965,26832.28942360707,0.0,28311.882334952566,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=2; plan-changing cuts=38/39; alpha/lambda-only cuts=1/39; lower-bound gain=55144.172
cut_process,disaster_only_paper_like_exact_i40_k2_a1b1__improved,disaster_only_paper_like_exact_i40_k2_a1b1,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,40,40,7636.459999999031,55144.17175855965,26832.28942360707,0.0,28311.882334952566,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=2; plan-changing cuts=38/39; alpha/lambda-only cuts=1/39; lower-bound gain=55144.172
cut_process,integrated_runtime12_exact_i3_k3_a1234b1234__baseline,integrated_runtime12_exact_i3_k3_a1234b1234,integrated_runtime12_exact,runtime12_directional_exact,smoke_only,max_iterations,3,3,12863.407500000903,25167982.452270247,4264895.208537845,20902940.654416908,146.5893154516791,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=2/2; alpha/lambda-only cuts=0/2; lower-bound gain=146.589
cut_process,integrated_runtime12_exact_i3_k3_a1234b1234__improved,integrated_runtime12_exact_i3_k3_a1234b1234,integrated_runtime12_exact,runtime12_directional_exact,smoke_only,max_iterations,3,3,12863.407500000903,25167982.452270247,4264895.208537845,20902940.654416908,146.5893154516791,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=2/2; alpha/lambda-only cuts=0/2; lower-bound gain=146.589
